,*
ADMINISTRATIVE,*
ARMED FORCES,*
CONFIRMATION NOT RETURNED,*
CONFIRMATION PENDING,*
CONFIRMATION RETURNED UNDELIVERABLE,*
DECEASED,*
DUPLICATE,*
FELONY CONVICTION,*
FELONY SENTENCE COMPLETED,*
LEGACY - CONVERSION,*
LEGACY DATA,*
MILITARY,*
MOVED FROM COUNTY,*
MOVED FROM STATE,*
MOVED WITHIN STATE,*
OVERSEAS CITIZEN,*
PREVIOUSLY REGISTERED,*
REMOVED AFTER 2 FED GENERAL ELECTIONS IN INACTIVE STATUS,*
REMOVED DUE TO SUSTAINED CHALLENGE,*
REQUEST FROM VOTER,*
TEMPORARY REGISTRANT,*
UNAVAILABLE ESSENTIAL INFORMATION,*
UNVERIFIED,*
UNVERIFIED NEW,*
VERIFICATION PENDING,*
VERIFICATION RETURNED UNDELIVERABLE,*
VERIFIED,*
